time_index,incidence,region,category,classification,mom_variation,nature
2024-02-01,0.006,Cuyo,División,Recreación y cultura,,Mixto
2024-02-01,0.0113999999999999,Cuyo,División,Restaurantes y hoteles,,Servicios
2024-02-01,0.0111,Cuyo,División,Salud,,Servicios
2024-02-01,0.0207,Cuyo,División,Transporte,,Servicios
2024-02-01,0.0156,Cuyo,División,Vivienda y servicios básicos,,Servicios
2024-02-01,0.135,Cuyo,Nivel General,Total,13.5357,
2024-02-01,0.0111,GBA,Análisis,Estacionales,9.3574,
2024-02-01,0.0933,GBA,Análisis,Núcleo,12.8838,
2024-02-01,0.0454,GBA,Análisis,Regulados,28.749,
2024-02-01,0.1005,GBA,División,Alimentos y bebidas,,Bienes
2024-02-01,0.0106,GBA,División,Bebidas alcohólicas y tabaco,,Bienes
2024-02-01,0.0202,GBA,División,Bienes y servicios varios,,Mixto
2024-02-01,0.011,GBA,División,Comunicación,,Servicios
2024-02-01,0.0034999999999999,GBA,División,Educación,,Servicios
2024-02-01,0.023,GBA,División,Equipamiento del hogar,,Bienes
2024-02-01,0.0178,GBA,División,Prendas de vestir y calzado,,Bienes
2024-02-01,0.0256999999999999,GBA,División,Recreación y cultura,,Mixto
2024-02-01,0.0369,GBA,División,Restaurantes y hoteles,,Servicios
2024-02-01,0.0366999999999999,GBA,División,Salud,,Servicios
2024-02-01,0.0663,GBA,División,Transporte,,Servicios
2024-02-01,0.0223,GBA,División,Vivienda y servicios básicos,,Servicios
2024-02-01,0.15,GBA,Nivel General,Total,14.9739,
2024-02-01,0.0135,NEA,Análisis,Estacionales,11.5064,
2024-02-01,0.076,NEA,Análisis,Núcleo,10.2566,
2024-02-01,0.0195,NEA,Análisis,Regulados,13.7347,
2024-02-01,0.1165,NEA,División,Alimentos y bebidas,,Bienes
2024-02-01,0.0113,NEA,División,Bebidas alcohólicas y tabaco,,Bienes
2024-02-01,0.0184,NEA,División,Bienes y servicios varios,,Mixto
2024-02-01,0.0103,NEA,División,Comunicación,,Servicios
2024-02-01,0.0017,NEA,División,Educación,,Servicios
2024-02-01,0.025,NEA,División,Equipamiento del hogar,,Bienes
2024-02-01,0.0233,NEA,División,Prendas de vestir y calzado,,Bienes
2024-02-01,0.0187,NEA,División,Recreación y cultura,,Mixto
2024-02-01,0.0168,NEA,División,Restaurantes y hoteles,,Servicios
2024-02-01,0.0227,NEA,División,Salud,,Servicios
2024-02-01,0.0397,NEA,División,Transporte,,Servicios
2024-02-01,0.0208,NEA,División,Vivienda y servicios básicos,,Servicios
2024-02-01,0.109,NEA,Nivel General,Total,10.8959,
2024-02-01,0.0107,NOA,Análisis,Estacionales,8.5647,
2024-02-01,0.08,NOA,Análisis,Núcleo,10.7737,
2024-02-01,0.0262,NOA,Análisis,Regulados,19.7594,
2024-02-01,0.1319,NOA,División,Alimentos y bebidas,,Bienes
2024-02-01,0.0088,NOA,División,Bebidas alcohólicas y tabaco,,Bienes
2024-02-01,0.0226,NOA,División,Bienes y servicios varios,,Mixto
2024-02-01,0.0097,NOA,División,Comunicación,,Servicios
2024-02-01,0.0004,NOA,División,Educación,,Servicios
2024-02-01,0.0237999999999999,NOA,División,Equipamiento del hogar,,Bienes
2024-02-01,0.0223,NOA,División,Prendas de vestir y calzado,,Bienes
2024-02-01,0.017,NOA,División,Recreación y cultura,,Mixto
2024-02-01,0.0306999999999999,NOA,División,Restaurantes y hoteles,,Servicios
2024-02-01,0.0258,NOA,División,Salud,,Servicios
2024-02-01,0.0407,NOA,División,Transporte,,Servicios
2024-02-01,0.0258,NOA,División,Vivienda y servicios básicos,,Servicios
2024-02-01,0.1169999999999999,NOA,Nivel General,Total,11.6912,
2024-02-01,0.0096,Pampeana,Análisis,Estacionales,7.6348,
2024-02-01,0.0886,Pampeana,Análisis,Núcleo,12.1361,
2024-02-01,0.0206,Pampeana,Análisis,Regulados,14.3754,
2024-02-01,0.1147,Pampeana,División,Alimentos y bebidas,,Bienes
2024-02-01,0.0123,Pampeana,División,Bebidas alcohólicas y tabaco,,Bienes
2024-02-01,0.0200999999999999,Pampeana,División,Bienes y servicios varios,,Mixto
2024-02-01,0.0109,Pampeana,División,Comunicación,,Servicios
2024-02-01,0.0002,Pampeana,División,Educación,,Servicios
2024-02-01,0.024,Pampeana,División,Equipamiento del hogar,,Bienes
2024-02-01,0.0219,Pampeana,División,Prendas de vestir y calzado,,Bienes
2024-02-01,0.0236,Pampeana,División,Recreación y cultura,,Mixto
